"AOU","Genus","Species","BBS_dist","BBS_dist_error","Migration","Mig_distance","WithAdults","Flocks","FlocksWithAdults","Male_mass_g","Trend","Relative.Abundance","BBS_species","BBS_Tree_species","Habitat_specialism_score","Diet_specialism_score","Diet.5Cat","GenFLS","Order","SE"
1770,"Dendrocygna","autumnalis",7130.42768657986,3571.60399300292,"Partial","long","Yes","Yes","FlocksWithAdults",1426,6.25,4.09,"Dendrocygna autumnalis","Dendrocygna_autumnalis",50,90,"PlantSeed",2.075058561,"ANSERIFORMES",3571.60399300292
1400,"Spatula","discors",2036.92043167015,1764.05013575669,"Complete","short","Yes","Yes","FlocksWithAdults",31.2,0.26,1.54,"Spatula discors","Anas_discors",100,60,"PlantSeed",2.026234033,"ANSERIFORMES",1764.05013575669
1410,"Spatula","cyanoptera",2897.40443348806,5314.11391301886,"Partial","short","Yes","Yes","FlocksWithAdults",1800,-0.89,0.6,"Spatula cyanoptera","Anas_cyanoptera",100,50,"PlantSeed",1.736307729,"ANSERIFORMES",5314.11391301886
1430,"Anas","acuta",3090.47865762868,2566.35654290845,"Complete","long","Yes","Yes","FlocksWithAdults",1006,-2.61,1.15,"Anas acuta","Anas_acuta",70,50,"PlantSeed",3.306523085,"ANSERIFORMES",2566.35654290845
1390,"Anas","crecca",2296.72513918953,2571.41546095504,"Partial","short","Yes","Yes","FlocksWithAdults",350,0.15,0.29,"Anas crecca","Anas_crecca",100,50,"PlantSeed",2.144349506,"ANSERIFORMES",2571.41546095504
1350,"Mareca","strepera",1758.31187856383,1651.69612004782,"Partial","short","Yes","Yes","FlocksWithAdults",770.5,1.7,2.4,"Mareca strepera","Anas_strepera",80,70,"PlantSeed",2.615589659,"ANSERIFORMES",1651.69612004782
1370,"Mareca","americana",2300.56506563388,2916.82155436351,"Complete","short","Yes","Yes","FlocksWithAdults",796.1,-1.51,0.95,"Mareca americana","Anas_americana",50,100,"PlantSeed",3.081024899,"ANSERIFORMES",2916.82155436351
1500,"Aythya","collaris",2136.68335170941,5718.56966320867,"Complete","long","Yes","Yes","FlocksWithAdults",1078,1.85,0.26,"Aythya collaris","Aythya_collaris",100,60,"PlantSeed",2.543666663,"ANSERIFORMES",5718.56966320867
1490,"Aythya","affinis",2990.3836251426,2802.01248704012,"Complete","long","Yes","Yes","FlocksWithAdults",2725,-0.37,4.02,"Aythya affinis","Aythya_affinis",100,50,"PlantSeed",3.233127688,"ANSERIFORMES",2802.01248704012
1440,"Aix","sponsa",2992.67943807151,547.545448125009,"Partial","short","Yes","Yes","FlocksWithAdults",694,1.15,0.34,"Aix sponsa","Aix_sponsa",80,50,"PlantSeed",2.123768167,"ANSERIFORMES",547.545448125009
1530,"Bucephala","albeola",2335.93314365681,5134.75782298089,"Complete","long","Yes","Yes","FlocksWithAdults",3232,3.43,0.3,"Bucephala albeola","Bucephala_albeola",100,70,"Invertebrate",4.122017644,"ANSERIFORMES",5134.75782298089
640,"Hydroprogne","caspia",5193.46951895019,4667.1090438962,"Partial","long","Yes","Yes","FlocksWithAdults",23.9,0.18,0.09,"Hydroprogne caspia","Sterna_caspia",80,80,"VertFishScav",9.749406689,"CHARADRIIFORMES",4667.1090438962
650,"Thalasseus","maximus",4098.7064246477,7345.1370181047,"Partial","long","Yes","Yes","FlocksWithAdults",94.5,0.08,1.72,"Thalasseus maximus","Sterna_maxima",100,80,"VertFishScav",10.50757482,"CHARADRIIFORMES",7345.1370181047
690,"Sterna","forsteri",21237.2299705594,5686.10052435015,"Partial","long","Yes","Yes","FlocksWithAdults",36.1,-1.3,0.29,"Sterna forsteri","Sterna_forsteri",80,80,"VertFishScav",7.166436783,"CHARADRIIFORMES",5686.10052435015
470,"Larus","marinus",1536.49450300659,8559.02789682854,"Partial","long","Yes","Yes","FlocksWithAdults",13.5,-1.57,2.84,"Larus marinus","Larus_marinus",80,20,"Omnivore",11.45300822,"CHARADRIIFORMES",8559.02789682854
800,"Rynchops","niger",796.506036102986,10400.8777519606,"Partial","long","Yes","Yes","FlocksWithAdults",20.7,-1.38,0.92,"Rynchops niger","Rynchops_niger",100,70,"VertFishScav",5.712844594,"CHARADRIIFORMES",10400.8777519606
2640,"Numenius","americanus",6937.38482770725,2107.41284292069,"Complete","long","Yes","Yes","FlocksWithAdults",649.2,0.03,2.31,"Numenius americanus","Numenius_americanus",80,90,"Invertebrate",6.748466121,"CHARADRIIFORMES",2107.41284292069
2280,"Scolopax","minor",507.849519347137,1488.53166865146,"Partial","long","Yes","Yes","FlocksWithAdults",111,-0.73,0.02,"Scolopax minor","Scolopax_minor",80,100,"Invertebrate",2.298184966,"CHARADRIIFORMES",1488.53166865146
2580,"Tringa","semipalmata",1866.59919418396,1241.08112875634,"Complete","short","No","Yes","FlocksNoAdults",315,-0.64,1.82,"Tringa semipalmata","Catoptrophorus_semipalmatus",70,80,"Invertebrate",3.532632541,"CHARADRIIFORMES",1241.08112875634
2550,"Tringa","flavipes",4729.07978099673,8455.03781587267,"Complete","short","No","Yes","FlocksNoAdults",200,-1.04,0.44,"Tringa flavipes","Tringa_flavipes",50,100,"Invertebrate",4.061051404,"CHARADRIIFORMES",8455.03781587267
2540,"Tringa","melanoleuca",1105.66781669466,13120.854023305,"Complete","short","No","Yes","FlocksNoAdults",68.8,0.68,0.25,"Tringa melanoleuca","Tringa_melanoleuca",80,80,"Invertebrate",4.856839238,"CHARADRIIFORMES",13120.854023305
2630,"Actitis","macularius",9163.18319776924,1213.77520170013,"Complete","long","No","Yes","FlocksNoAdults",117,-1.49,0.38,"Actitis macularius","Actitis_macularius",80,80,"Invertebrate",3.282817159,"CHARADRIIFORMES",1213.77520170013
2490,"Limosa","fedoa",4503.89253262607,1483.28121102314,"Complete","long","No","Yes","FlocksNoAdults",429.2,-0.54,2.09,"Limosa fedoa","Limosa_fedoa",80,100,"Invertebrate",7.439255425,"CHARADRIIFORMES",1483.28121102314
3600,"Falco","sparverius",3612.93016962271,335.896148667428,"Partial","short","Yes","Yes","FlocksWithAdults",18.6,-1.41,0.88,"Falco sparverius","Falco_sparverius",50,60,"Invertebrate",2.406436894,"FALCONIFORMES",335.896148667428
3560,"Falco","peregrinus",851.559549083898,2586.05004444257,"Partial","short","No","No","Solo",21.4,2.17,0.01,"Falco peregrinus","Falco_peregrinus",20,80,"VertFishScav",5.712366517,"FALCONIFORMES",2586.05004444257
4470,"Tyrannus","verticalis",1401.17714541012,483.082712492906,"Complete","short","No","Yes","FlocksNoAdults",45,-0.13,8.38,"Tyrannus verticalis","Tyrannus_verticalis",40,90,"Invertebrate",2.646492858,"PASSERIFORMES",483.082712492906
4430,"Tyrannus","forficatus",777.298469231251,500.470594134501,"Complete","long","Yes","Yes","FlocksWithAdults",38,-1.03,14.24,"Tyrannus forficatus","Tyrannus_forficatus",60,60,"Invertebrate",2.346737821,"PASSERIFORMES",500.470594134501
4540,"Myiarchus","cinerascens",2873.95703300019,1388.94469223218,"Partial","long","No","No","Solo",33.5,0.71,8.36,"Myiarchus cinerascens","Myiarchus_cinerascens",70,70,"Invertebrate",2.989367065,"PASSERIFORMES",1388.94469223218
6280,"Vireo","flavifrons",2002.17965732972,667.429634295584,"Complete","long","No","No","Solo",20.7,0.9,0.84,"Vireo flavifrons","Vireo_flavifrons",50,70,"Invertebrate",2.352781493,"PASSERIFORMES",667.429634295584
6220,"Lanius","ludovicianus",10657.2561220531,495.137028286994,"Partial","long","No","No","Solo",7497,-2.56,1.47,"Lanius ludovicianus","Lanius_ludovicianus",80,70,"Invertebrate",2.274961807,"PASSERIFORMES",495.137028286994
7260,"Certhia","americana",7742.13282877412,1630.69266483356,"Partial","short","Yes","Yes","FlocksWithAdults",153,0.34,0.33,"Certhia americana","Certhia_americana",30,70,"Invertebrate",1.664175519,"PASSERIFORMES",1630.69266483356
7190,"Thryomanes","bewickii",1188.18243684297,5256.53587188245,"Partial","short","No","No","Solo",9.9,-0.42,3.62,"Thryomanes bewickii","Thryomanes_bewickii",50,80,"Invertebrate",1.783557758,"PASSERIFORMES",5256.53587188245
7050,"Toxostoma","rufum",3267.75817146382,117.697403715869,"Partial","long","No","Yes","FlocksNoAdults",1147,-0.88,2.72,"Toxostoma rufum","Toxostoma_rufum",80,50,"Omnivore",2.680916959,"PASSERIFORMES",117.697403715869
7540,"Myadestes","townsendi",4071.03493492679,1764.44571208211,"Partial","short","No","No","Solo",32.4,0.33,0.45,"Myadestes townsendi","Myadestes_townsendi",60,50,"Omnivore",2.564370036,"PASSERIFORMES",1764.44571208211
7610,"Turdus","migratorius",777.040025902957,88.0926972979997,"Partial","short","Yes","Yes","FlocksWithAdults",77.3,0.12,33.82,"Turdus migratorius","Turdus_migratorius",40,50,"Omnivore",3.146893471,"PASSERIFORMES",88.0926972979997
