"AOU","Genus","Species","CBC_dist","CBC_dist_error","Migration","Mig_distance","Flocks","Male_mass_g","Trend","Relative.Abundance","CBC_species","CBC_Tree_species","Habitat_specialism_score","Diet_specialism_score","Diet.5Cat","GenFLS","Order","SE"
1770,"Dendrocygna","autumnalis",26468.969452313,445990.404422876,"Partial","long","Yes",1426,6.25,4.09,"Dendrocygna autumnalis","Dendrocygna_autumnalis",50,90,"PlantSeed",2.075058561,"ANSERIFORMES",445990.404422876
1780,"Dendrocygna","bicolor",6020.67512662338,480898.321739957,"Partial","short","Yes",875,2.24,5.6,"Dendrocygna bicolor","Dendrocygna_bicolor",80,60,"PlantSeed",2.326351125,"ANSERIFORMES",480898.321739957
1400,"Spatula","discors",1218.19903594273,1196462.37201095,"Complete","short","Yes",31.2,0.26,1.54,"Spatula discors","Anas_discors",100,60,"PlantSeed",2.026234033,"ANSERIFORMES",1196462.37201095
1410,"Spatula","cyanoptera",17888.4979762913,33266.9340050045,"Partial","short","Yes",1800,-0.89,0.6,"Spatula cyanoptera","Anas_cyanoptera",100,50,"PlantSeed",1.736307729,"ANSERIFORMES",33266.9340050045
1430,"Anas","acuta",19393.3902390115,7542.973824066,"Complete","long","Yes",1006,-2.61,1.15,"Anas acuta","Anas_acuta",70,50,"PlantSeed",3.306523085,"ANSERIFORMES",7542.973824066
1390,"Anas","crecca",19994.2114139373,4084.91844929142,"Partial","short","Yes",350,0.15,0.29,"Anas crecca","Anas_crecca",100,50,"PlantSeed",2.144349506,"ANSERIFORMES",4084.91844929142
1350,"Mareca","strepera",6475.07780970123,3301.28733735588,"Partial","short","Yes",770.5,1.7,2.4,"Mareca strepera","Anas_strepera",80,70,"PlantSeed",2.615589659,"ANSERIFORMES",3301.28733735588
1370,"Mareca","americana",14162.8871614313,4719.57948832258,"Complete","short","Yes",796.1,-1.51,0.95,"Mareca americana","Anas_americana",50,100,"PlantSeed",3.081024899,"ANSERIFORMES",4719.57948832258
1500,"Aythya","collaris",11904.2884529694,12545.3015601962,"Complete","long","Yes",1078,1.85,0.26,"Aythya collaris","Aythya_collaris",100,60,"PlantSeed",2.543666663,"ANSERIFORMES",12545.3015601962
1490,"Aythya","affinis",1202.75847244584,681717.495295838,"Complete","long","Yes",2725,-0.37,4.02,"Aythya affinis","Aythya_affinis",100,50,"PlantSeed",3.233127688,"ANSERIFORMES",681717.495295838
1440,"Aix","sponsa",7044.56214225243,2492.40578922103,"Partial","short","Yes",694,1.15,0.34,"Aix sponsa","Aix_sponsa",80,50,"PlantSeed",2.123768167,"ANSERIFORMES",2492.40578922103
1310,"Lophodytes","cucullatus",3493.74784720554,1901.55360420453,"Partial","long","Yes",7200,4.91,0.02,"Lophodytes cucullatus","Lophodytes_cucullatus",80,40,"Omnivore",4.513622284,"ANSERIFORMES",1901.55360420453
1290,"Mergus","merganser",6586.54898646077,4683.13616640297,"Complete","long","Yes",1059,-0.44,0.26,"Mergus merganser","Mergus_merganser",80,70,"VertFishScav",3.511069377,"ANSERIFORMES",4683.13616640297
1510,"Bucephala","clangula",10172.7993267227,5772.12967147858,"Complete","short","Yes",465,0.47,0.25,"Bucephala clangula","Bucephala_clangula",80,70,"Invertebrate",4.827337695,"ANSERIFORMES",5772.12967147858
1530,"Bucephala","albeola",4030.83257815554,31000.1661213121,"Complete","long","Yes",3232,3.43,0.3,"Bucephala albeola","Bucephala_albeola",100,70,"Invertebrate",4.122017644,"ANSERIFORMES",31000.1661213121
640,"Hydroprogne","caspia",15734.5194496984,16127.3502454216,"Partial","long","Yes",23.9,0.18,0.09,"Hydroprogne caspia","Sterna_caspia",80,80,"VertFishScav",9.749406689,"CHARADRIIFORMES",16127.3502454216
650,"Thalasseus","maximus",5637.99746179173,7833.45407237031,"Partial","long","Yes",94.5,0.08,1.72,"Thalasseus maximus","Sterna_maxima",100,80,"VertFishScav",10.50757482,"CHARADRIIFORMES",7833.45407237031
690,"Sterna","forsteri",2719.31858548433,5205.413092137,"Partial","long","Yes",36.1,-1.3,0.29,"Sterna forsteri","Sterna_forsteri",80,80,"VertFishScav",7.166436783,"CHARADRIIFORMES",5205.413092137
580,"Leucophaeus","atricilla",3299.51192925191,25290.2564016705,"Partial","short","Yes",64.3,1.11,515.59,"Leucophaeus atricilla","Larus_atricilla",50,40,"VertFishScav",7.567408887,"CHARADRIIFORMES",25290.2564016705
590,"Leucophaeus","pipixcan",868.289109189752,12669.203747456,"Complete","short","Yes",67.2,-1.13,556.79,"Leucophaeus pipixcan","Larus_pipixcan",40,40,"Omnivore",7.124439976,"CHARADRIIFORMES",12669.203747456
470,"Larus","marinus",2461.42844993397,10680.3588086182,"Partial","long","Yes",13.5,-1.57,2.84,"Larus marinus","Larus_marinus",80,20,"Omnivore",11.45300822,"CHARADRIIFORMES",10680.3588086182
800,"Rynchops","niger",5284.53909427728,13191.8515986239,"Partial","long","Yes",20.7,-1.38,0.92,"Rynchops niger","Rynchops_niger",100,70,"VertFishScav",5.712844594,"CHARADRIIFORMES",13191.8515986239
2640,"Numenius","americanus",4770.75733775419,896555.759671901,"Complete","long","Yes",649.2,0.03,2.31,"Numenius americanus","Numenius_americanus",80,90,"Invertebrate",6.748466121,"CHARADRIIFORMES",896555.759671901
2280,"Scolopax","minor",5365.45255609678,1836.89123499373,"Partial","long","Yes",111,-0.73,0.02,"Scolopax minor","Scolopax_minor",80,100,"Invertebrate",2.298184966,"CHARADRIIFORMES",1836.89123499373
2580,"Tringa","semipalmata",24766.5967066123,20774.4767976651,"Complete","short","Yes",315,-0.64,1.82,"Tringa semipalmata","Catoptrophorus_semipalmatus",70,80,"Invertebrate",3.532632541,"CHARADRIIFORMES",20774.4767976651
2550,"Tringa","flavipes",4377.29607935535,2972.70934038731,"Complete","short","Yes",200,-1.04,0.44,"Tringa flavipes","Tringa_flavipes",50,100,"Invertebrate",4.061051404,"CHARADRIIFORMES",2972.70934038731
2540,"Tringa","melanoleuca",6702.45124659585,2256.70773513113,"Complete","short","Yes",68.8,0.68,0.25,"Tringa melanoleuca","Tringa_melanoleuca",80,80,"Invertebrate",4.856839238,"CHARADRIIFORMES",2256.70773513113
2560,"Tringa","solitaria",5064.07050823279,2059.55309820302,"Complete","short","Yes",261,0.23,0.08,"Tringa solitaria","Tringa_solitaria",50,80,"Invertebrate",3.038332371,"CHARADRIIFORMES",2059.55309820302
2630,"Actitis","macularius",2376.70158935896,3948.71155888666,"Complete","long","Yes",117,-1.49,0.38,"Actitis macularius","Actitis_macularius",80,80,"Invertebrate",3.282817159,"CHARADRIIFORMES",3948.71155888666
2490,"Limosa","fedoa",8144.86187282118,27758.1665120543,"Complete","long","Yes",429.2,-0.54,2.09,"Limosa fedoa","Limosa_fedoa",80,100,"Invertebrate",7.439255425,"CHARADRIIFORMES",27758.1665120543
2730,"Charadrius","vociferus",8694.05716241893,876.922108753173,"Partial","long","Yes",45.8,-0.57,5.33,"Charadrius vociferus","Charadrius_vociferus",100,90,"Invertebrate",3.924036198,"CHARADRIIFORMES",876.922108753173
2250,"Recurvirostra","americana",16732.4223035543,177004.488178462,"Partial","short","Yes",101.6,0.3,1.39,"Recurvirostra americana","Recurvirostra_americana",50,80,"Invertebrate",4.550597019,"CHARADRIIFORMES",177004.488178462
2260,"Himantopus","mexicanus",11887.2177419853,8633.17866879981,"Partial","long","Yes",24.1,1.1,2.05,"Himantopus mexicanus","Himantopus_mexicanus",100,100,"Invertebrate",5.599142123,"CHARADRIIFORMES",8633.17866879981
3600,"Falco","sparverius",6944.14544951771,399.393510038293,"Partial","short","Yes",18.6,-1.41,0.88,"Falco sparverius","Falco_sparverius",50,60,"Invertebrate",2.406436894,"FALCONIFORMES",399.393510038293
3550,"Falco","mexicanus",1430.00491675575,1279.11969871905,"Partial","long","Yes",28.1,1.15,0.07,"Falco mexicanus","Falco_mexicanus",70,100,"VertFishScav",4.373662855,"FALCONIFORMES",1279.11969871905
3560,"Falco","peregrinus",5150.81038460894,3679.9092736538,"Partial","short","No",21.4,2.17,0.01,"Falco peregrinus","Falco_peregrinus",20,80,"VertFishScav",5.712366517,"FALCONIFORMES",3679.9092736538
4480,"Tyrannus","vociferans",73.8061022858881,11696.9009162986,"Partial","short","Yes",39.2,-0.14,4.55,"Tyrannus vociferans","Tyrannus_vociferans",80,80,"Invertebrate",2.724748003,"PASSERIFORMES",11696.9009162986
4470,"Tyrannus","verticalis",6911.64028371113,11220.5109849368,"Complete","short","Yes",45,-0.13,8.38,"Tyrannus verticalis","Tyrannus_verticalis",40,90,"Invertebrate",2.646492858,"PASSERIFORMES",11220.5109849368
4430,"Tyrannus","forficatus",29627.695329269,6202.39059362309,"Complete","long","Yes",38,-1.03,14.24,"Tyrannus forficatus","Tyrannus_forficatus",60,60,"Invertebrate",2.346737821,"PASSERIFORMES",6202.39059362309
4540,"Myiarchus","cinerascens",3979.96812229222,7510.5102727481,"Partial","long","No",33.5,0.71,8.36,"Myiarchus cinerascens","Myiarchus_cinerascens",70,70,"Invertebrate",2.989367065,"PASSERIFORMES",7510.5102727481
6280,"Vireo","flavifrons",1329.00117128256,9574.42335695662,"Complete","long","No",20.7,0.9,0.84,"Vireo flavifrons","Vireo_flavifrons",50,70,"Invertebrate",2.352781493,"PASSERIFORMES",9574.42335695662
6220,"Lanius","ludovicianus",2259.93716043315,732.121072529105,"Partial","long","No",7497,-2.56,1.47,"Lanius ludovicianus","Lanius_ludovicianus",80,70,"Invertebrate",2.274961807,"PASSERIFORMES",732.121072529105
6170,"Stelgidopteryx","serripennis",10352.0706418581,51471.8170471261,"Partial","short","Yes",565,-0.22,1.76,"Stelgidopteryx serripennis","Stelgidopteryx_serripennis",70,100,"Invertebrate",2.026909388,"PASSERIFORMES",51471.8170471261
7260,"Certhia","americana",4489.11116206305,410.334526980515,"Partial","short","Yes",153,0.34,0.33,"Certhia americana","Certhia_americana",30,70,"Invertebrate",1.664175519,"PASSERIFORMES",410.334526980515
7190,"Thryomanes","bewickii",3819.72493630716,1468.96517930921,"Partial","short","No",9.9,-0.42,3.62,"Thryomanes bewickii","Thryomanes_bewickii",50,80,"Invertebrate",1.783557758,"PASSERIFORMES",1468.96517930921
7080,"Toxostoma","bendirei",264.904179074203,12164.7934278588,"Partial","long","Yes",222,-2.75,0.28,"Toxostoma bendirei","Toxostoma_bendirei",100,50,"Omnivore",2.536164707,"PASSERIFORMES",12164.7934278588
