species,year,coa_x,coa_y,coa_x_erros,coa_y_erros
370,1970,149182.479312049,-610507.301317289,25345.853301789,21718.8735376664
370,1971,106811.34252557,-597074.722290955,23182.4809296136,19708.5303819795
370,1972,94083.7544357041,-589822.624719435,22095.7611946823,18609.6170864242
370,1973,169806.729871886,-598120.991903652,22320.8522409741,18706.1575298132
370,1974,78323.4600519693,-589664.724050298,20844.7661454127,17613.1072812079
370,1975,-11812.2517639966,-560536.329695498,19382.5508533367,15774.0176506426
370,1976,42093.4609070736,-564741.267371065,18811.8744641626,15259.8093808806
370,1977,51080.288581287,-572235.56453414,19010.0735581827,15755.9606770741
370,1978,81931.3462609058,-579793.414836124,23962.4926707827,20117.161575285
370,1979,92748.3728128133,-575675.245876901,21337.5762596473,17761.7254905732
370,1980,75554.9493335844,-566350.89915051,17615.5192235803,14401.5829561616
370,1981,100301.588200645,-569289.127744298,16970.9475114009,13860.5136208221
370,1982,95638.5496335025,-563032.67563178,16527.426724163,13285.3960771011
370,1983,91588.3127827351,-563014.021523143,16017.8383756212,12871.5761606087
370,1984,115437.024079584,-582284.170502115,15785.7331681651,12975.966324409
370,1985,60972.0826849464,-550614.426614752,14878.2367156182,11735.240149279
370,1986,130078.78465167,-576721.203843165,16537.2478966055,13598.9474995464
370,1987,142112.035324948,-566747.880903188,14209.6621067975,11274.0187585464
370,1988,106489.398509352,-559351.298868226,13628.487716328,10739.8388522669
370,1989,185725.905309225,-556470.625520706,14124.712271665,10682.6233771255
370,1990,123688.010404892,-573257.273393724,13789.3455387412,11080.0351476259
370,1991,110687.108312031,-549064.374369021,13539.9268304783,10441.2661280236
370,1992,177897.927368849,-567152.445316493,12674.2548546743,9799.93252763694
370,1993,192368.266542674,-555544.714991248,13011.5409918264,9850.22959651359
370,1994,97429.1008440209,-548288.285835186,12071.0360717573,9281.55563539057
370,1995,146725.349832013,-559710.589216976,13382.5862657242,10562.8170691864
370,1996,91186.3839136388,-540925.796475626,11751.9382168755,8797.58198400284
370,1997,112058.539252252,-537915.417939236,11707.3352693664,8752.47525906296
370,1998,34613.8016914923,-539747.066939041,11103.3707971927,8097.63420121865
370,1999,103257.354684112,-530717.95321482,11816.027893408,8576.12202732556
370,2000,159294.439057368,-542117.859317192,11245.6182771407,8213.62899603899
370,2001,149029.89501084,-544534.772793459,12835.1245989184,9783.18381762386
370,2002,170056.555404301,-542325.421837252,11073.039481614,8057.0378738157
370,2003,85629.1964144958,-532163.980909782,10568.0357142921,7430.81742268082
370,2004,48318.7257036983,-514128.204285457,10308.9189030955,7022.10431030597
370,2005,200133.322303574,-544005.844539101,11700.1090489875,8621.7450628758
370,2006,173438.957137408,-515521.404728678,10581.7419683596,6984.79564614754
370,2007,34385.3286386134,-516549.248227939,10569.8981638128,6858.29106579759
370,2008,157905.584001039,-504354.387462171,10569.2512755182,6547.66980676046
370,2009,234920.534727564,-538694.598938824,10622.7376056915,7233.2141807892
370,2010,326356.296394007,-521594.257528137,11930.9985937501,7054.52070877286
370,2011,257083.133130087,-549304.873444055,10604.4390818204,7313.6376891866
370,2012,506850.666571099,-552751.440578638,14448.4376516655,8663.85951942318
370,2013,340096.647147845,-551451.867469273,11106.8171916938,7535.53725047122
370,2014,309340.334971192,-522517.160446409,10926.1494565346,6687.47727401525
370,2015,332896.755226989,-497978.656355852,12800.627001312,6838.59128239327
370,2016,425501.105364663,-554331.865742431,11621.3641981921,7576.03136857677
370,2017,470910.026421937,-509736.124257332,12898.469897885,6864.41555726443
370,2018,423027.482590318,-501457.030618009,12153.8760042552,6480.11850796197
370,2019,354868.914636719,-524576.511004115,11592.9094159035,6942.69000465214
