Genus,Species,Family,Common.name,AOU,Banding_timing,Start,End,Migration,Partial,Note,Age.cohort.timing,Flocking,Flock.size,Flock.structure,Family.grouping,Altitudinal,Comments,Timing.of.migration,Flight.call.from.BOTW,MFC.from.oldbird.org,X,Maximum.flock.size,Maximum.flock.size..conspecifics.only.,Maximum.flock.size.while.travelling,Male.body.mass..g.,Migration.distance,Timing.of.migration.1,References
Empidonax ,virescens,Tyrannidae,Acadian Flycatcher,4650,Adults first,230,320,Complete,No,,Adults first,,,,,,,night,,No,NA,1,1,NA,12.5,short,night,Sterling 1999
Empidonax ,alnorum,Tyrannidae,Alder Flycatcher,4661,Adults first,230,270,Complete,No,,Adults first,,,,,,,night,,No,NA,30,1,1,10.7,short,,Hutto 1994; Lowther 2000; Austin & Smith 1972
Selasphorus,sasin,Trochilidae,Allen's Hummingbird,4340,Adults first,160,260,Partial,Yes,,Adults first,No,,,,,,day,,,NA,1,1,1,2.85,short,,Mitchell 2000
Recurvirostra,americana,Recurvirostridae,American Avocet,2250,,NA,NA,Partial,Yes,,,Sometimes,Small,,,,Flocks may be medium,night,,,NA,100,100,400,101.6,short,day,Gill et al. 2002; Sutton 1946
Botaurus,lentiginosus,Ardeidae,American Bittern,1900,,NA,NA,Partial,Yes,"Some residency, but only assumed",,,,,,,,day,,,NA,1600,66,75,371.8,short,day,Telfair 2006; Grubb 1976; Mora 1992; Custer & Osborne 1978
Anas,rubripes,Anatidae,American Black Duck,1330,Concurrent,230,360,Partial,Yes,,Concurrent,Common,Small,Tight,,,,night,,,NA,30,30,25,335,short,night,Gammonley 1996; Kear 2005; Munro 1957; Bellrose 1976
Fulica,americana,Rallidae,American Coot,2210,,NA,NA,Partial,Yes,,Concurrent,Sometimes,Small,Loose,,,,night,,,NA,3000,3000,1000,49.5,long,night,Warnock & Gill 1996; Ruiz et al. 1989; Kus 1986; Gerasimov & Gerasimov 2000;
Corvus,brachyrhynchos,Corvidae,American Crow,4880,,NA,NA,Partial,Yes,,,,,,,,,day,,No,NA,NA,NA,NA,18.5,short,,Martin & Carlson 1998; Repasky 1996
Pluvialis,dominica,Charadriidae,American Golden-Plover,2720,,NA,NA,Complete,No,,Adults first,Common,,,,,,night,Yes,,NA,1,1,NA,17,short,night,Vickery 1996; Grzybowski 1983a; Pulliam & Mills 1977; Dean et al. 1998; Byers et al. 1995
Spinus,tristis,Fringillidae,American Goldfinch,5290,Concurrent,220,350,Partial,Yes,,,Common,,,,,,day,,Yes,NA,350,80,NA,24.02,short,night,Gryzbowski 1983; Jones & Cornely 2002; Canales-Delgaldillo et al. 2008; Pulliam & Mills 1977; Thompson et al. 1991
Falco,sparverius,Falconidae,American Kestrel,3600,Concurrent,240,310,Partial,Yes,,Concurrent,Sometimes,Small,Loose,,,Adult males migrate after adult females and young,day,,,NA,6,6,NA,18.6,short,night,Mowbray 1997; Byers et al. 1995; Fleetwood 1951
Haematopus,palliatus,Haematopodidae,American Oystercatcher,2860,,NA,NA,Partial,Yes,,,,,,No,,,,,,NA,27,15,NA,31.4,short,night,Falls & Kopachena 2010; Barbour 1941; Piper 1990; Cooke 1914
Anthus,rubescens,Motacillidae,American Pipit,6970,Concurrent,240,320,Complete,No,,Concurrent,Common,Medium,Loose,,,Flocks may be small,day,,No,NA,50000,19500,100,327,long,,Burger 1996; Burger & Gochfeld 1991; Patton 1988; Wells 1994
